Species,,Family,,Habitat,mean,sd,CI.low,CI.high
Amorbus,sp.,Coreidae,,GolfCourse,0.851,0.894,0.171,0.998
Anischys,sp.,Acanthosomatidae,,GolfCourse,0.862,0.898,0.132,0.999
Baclozygum,depressum,Thaumastocoridae,,GolfCourse,0.882,0.876,0.288,0.999
Brentiscerus,putoni,Rhyparochromidae,,GolfCourse,0.901,0.886,0.238,0.999
Chaetedus,longiceps,Miridae,,GolfCourse,0.979,0.826,0.831,1
Cletus,similis,Coreidae,,GolfCourse,0.856,0.899,0.131,0.998
Coridromius,sp.,Miridae,,GolfCourse,0.95,0.852,0.574,0.999
Creontiades,dilutus,Miridae,,GolfCourse,0.902,0.888,0.245,0.999
Crompus,oculatus,Lygaeidae,,GolfCourse,0.662,0.823,0.169,0.98
Crompus,opacus,Lygaeidae,,GolfCourse,,,,
Cryptorhamphus,orbus,Cryptorhamphidae,,GolfCourse,0.747,0.914,0.065,0.997
Cuspicona,sp.1,Pentatomidae,,GolfCourse,0.866,0.853,0.383,0.997
Cuspicona,sp.2,Pentatomidae,,GolfCourse,0.692,0.895,0.104,0.996
Cymodema,basicornis,Cymidae,,GolfCourse,0.92,0.872,0.337,0.999
Dictyotus,sp.1,Pentatomidae,,GolfCourse,0.872,0.898,0.136,0.999
Dictyotus,sp.2,Pentatomidae,,GolfCourse,0.906,0.882,0.268,0.999
Dieuches,maculicollis,Rhyparochromidae,,GolfCourse,,,,
Dilompus,robustus,Artheneidae,,GolfCourse,,,,
Dilompus,woodwardi,Artheneidae,,GolfCourse,0.867,0.899,0.143,0.998
Dindymus,versicolor,Pyrrhocoridae,,GolfCourse,0.931,0.866,0.416,0.999
Diplocysta,trilobata,Tingidae,,GolfCourse,0.865,0.899,0.137,0.999
Eribotes,sp.,Pentatomidae,,GolfCourse,0.9,0.884,0.247,0.999
Eritingis,sp.,Tingidae,,GolfCourse,0.867,0.899,0.136,0.999
Euander,lacertosus,Rhyparochromidae,,GolfCourse,0.872,0.899,0.155,0.999
Eupolemus,sp.1,Acanthosomatidae,,GolfCourse,0.86,0.898,0.123,0.999
Eupolemus,sp.2,Acanthosomatidae,,GolfCourse,0.832,0.896,0.151,0.998
Eurynysius,sp.,Lygaeidae,,GolfCourse,,,,
Eysarcoris,distinctus,Pentatomidae,,GolfCourse,0.836,0.875,0.251,0.998
Froggattia,olivinia,Tingidae,,GolfCourse,0.867,0.899,0.138,0.998
Gelonus,tasmanicus,Coreidae,,GolfCourse,0.867,0.901,0.138,0.999
Halticus,minutus,Miridae,,GolfCourse,0.903,0.841,0.503,0.998
Koscocrompus,obscurus,Lygaeidae,,GolfCourse,0.867,0.9,0.135,0.998
Lethaeini,spp.,Rhyparochromidae,,GolfCourse,,,,
Malandiola,sp.,Tingidae,,GolfCourse,0.869,0.896,0.142,0.998
Mcateella,elongata,Piesmatidae,,GolfCourse,0.951,0.857,0.564,0.999
Melanacanthus,scutellaris,Alydidae,,GolfCourse,0.878,0.877,0.281,0.999
Mictis,profana,Coreidae,,GolfCourse,0.9,0.882,0.243,0.999
Mirini,sp.1,Miridae,,GolfCourse,0.961,0.842,0.677,0.999
Mirini,sp.2,Miridae,,GolfCourse,0.896,0.886,0.233,0.999
Mirini,sp.3,Miridae,,GolfCourse,0.867,0.901,0.131,0.999
Mirini,sp.4,Miridae,,GolfCourse,0.901,0.882,0.247,0.999
Mirini,sp.5,Miridae,,GolfCourse,0.863,0.9,0.132,0.998
Mirini,sp.6,Miridae,,GolfCourse,0.864,0.9,0.125,0.999
Mirini,sp.7,Miridae,,GolfCourse,,,,
Mutusca,brevicornis,Alydidae,,GolfCourse,0.979,0.827,0.829,0.999
Nezara,viridula,Pentatomidae,,GolfCourse,0.864,0.898,0.13,0.998
Notius,depressus,Pentatomidae,,GolfCourse,,,,
Nysius,caledoniae,Lygaeidae,,GolfCourse,0.979,0.825,0.831,0.999
Nysius,vinitor,Lygaeidae,,GolfCourse,0.963,0.833,0.724,0.999
Ocirrhoe,sp.1,Pentatomidae,,GolfCourse,0.441,0.895,0.038,0.992
Ocirrhoe,sp.2,Pentatomidae,,GolfCourse,0.866,0.899,0.126,0.999
Ocirrhoe,sp.3,Pentatomidae,,GolfCourse,0.923,0.873,0.334,0.999
Oncocoris,geniculatus,Pentatomidae,,GolfCourse,0.897,0.887,0.241,0.999
Ontiscus,australis,Cymidae,,GolfCourse,0.896,0.884,0.226,0.999
Orthotylinae,sp.1,Miridae,,GolfCourse,0.861,0.895,0.159,0.998
Orthotylinae,sp.2,Miridae,,GolfCourse,0.87,0.9,0.15,0.999
Orthotylinae,sp.3,Miridae,,GolfCourse,,,,
Oxycarenus,sp.1,Oxycarenidae,,GolfCourse,0.864,0.902,0.128,0.998
Oxycarenus,sp.2,Oxycarenidae,,GolfCourse,0.868,0.899,0.12,0.999
Pentatomidae,sp.1,Pentatomidae,,GolfCourse,0.707,0.894,0.105,0.997
Pentatomidae,sp.2,Pentatomidae,,GolfCourse,,,,
Phylinae,sp.1,Miridae,,GolfCourse,0.847,0.896,0.165,0.998
Phylinae,sp.2,Miridae,,GolfCourse,0.755,0.911,0.066,0.997
Plinthisus,spp.,Rhyparochromidae,,GolfCourse,0.863,0.899,0.126,0.999
Plinthisus,spp.,Rhyparochromidae,,GolfCourse,,,,
Remaudiereana,inornata,Rhyparochromidae,,GolfCourse,0.979,0.824,0.829,0.999
Sidnia,kinbergi,Miridae,,GolfCourse,0.972,0.831,0.782,0.999
Stenophyella,macreta,Pachygronthidae,,GolfCourse,0.882,0.71,0.64,0.981
Stephanitis,pyroides,Tingidae,,GolfCourse,,,,
Stizocephalus,hirsutus,Rhyparochromidae,,GolfCourse,0.862,0.897,0.141,0.998
Thaumastocoris,safordi,Thaumastocoridae,,GolfCourse,0.855,0.902,0.123,0.998
Tingis,sp.1,Tingidae,,GolfCourse,0.918,0.875,0.336,0.999
Tingis,sp.2,Tingidae,,GolfCourse,,,,
Ulonemia,spp.,Tingidae,,GolfCourse,,,,
Zanessa,rubrovariegata,Miridae,,GolfCourse,0.871,0.895,0.142,0.998
Buchananiella,whitei,Anthocoridae,,GolfCourse,0.863,0.902,0.131,0.999
Cermatulus,nasalis,Pentatomidae,,GolfCourse,0.919,0.874,0.327,0.998
Chinoneides,tasmaniensis,Berytidae,,GolfCourse,0.922,0.875,0.334,0.999
Coranus,callosus,Reduviidae,,GolfCourse,0.898,0.886,0.238,0.999
Deraeocorini,sp.1,Miridae,,GolfCourse,,,,
Deraeocorini,sp.2,Miridae,,GolfCourse,,,,
Dicrotelus,prolixus,Reduviidae,,GolfCourse,0.841,0.893,0.157,0.998
Dicyphini,sp.1,Miridae,,GolfCourse,,,,
Dicyphini,sp.2,Miridae,,GolfCourse,,,,
Emesinae,sp.1,Reduviidae,,GolfCourse,0.822,0.896,0.147,0.998
Germalus,victoriae,Geocoridae,,GolfCourse,,,,
Gminatus,australis,Reduviidae,,GolfCourse,0.898,0.882,0.264,0.999
Nabis,spp.,Nabidae,,GolfCourse,0.979,0.824,0.83,0.999
Oechalia,schellenbergii,Pentatomidae,,GolfCourse,,,,
Orius,spp.,Anthocoridae,,GolfCourse,0.847,0.864,0.31,0.997
Stylogeocoris,biroi,Geocoridae,,GolfCourse,0.865,0.897,0.145,0.999
Amorbus,sp.,Coreidae,,Parks,0.723,0.813,0.268,0.98
Anischys,sp.,Acanthosomatidae,,Parks,,,,
Baclozygum,depressum,Thaumastocoridae,,Parks,,,,
Brentiscerus,putoni,Rhyparochromidae,,Parks,0.691,0.815,0.222,0.979
Chaetedus,longiceps,Miridae,,Parks,0.774,0.803,0.354,0.985
Cletus,similis,Coreidae,,Parks,,,,
Coridromius,sp.,Miridae,,Parks,,,,
Creontiades,dilutus,Miridae,,Parks,,,,
Crompus,oculatus,Lygaeidae,,Parks,,,,
Crompus,opacus,Lygaeidae,,Parks,0.866,0.897,0.168,0.999
Cryptorhamphus,orbus,Cryptorhamphidae,,Parks,,,,
Cuspicona,sp.1,Pentatomidae,,Parks,,,,
Cuspicona,sp.2,Pentatomidae,,Parks,,,,
Cymodema,basicornis,Cymidae,,Parks,,,,
Dictyotus,sp.1,Pentatomidae,,Parks,,,,
Dictyotus,sp.2,Pentatomidae,,Parks,,,,
Dieuches,maculicollis,Rhyparochromidae,,Parks,,,,
Dilompus,robustus,Artheneidae,,Parks,,,,
Dilompus,woodwardi,Artheneidae,,Parks,0.659,0.822,0.175,0.974
Dindymus,versicolor,Pyrrhocoridae,,Parks,,,,
Diplocysta,trilobata,Tingidae,,Parks,,,,
Eribotes,sp.,Pentatomidae,,Parks,,,,
Eritingis,sp.,Tingidae,,Parks,,,,
Euander,lacertosus,Rhyparochromidae,,Parks,0.661,0.822,0.175,0.981
Eupolemus,sp.1,Acanthosomatidae,,Parks,0.658,0.823,0.169,0.977
Eupolemus,sp.2,Acanthosomatidae,,Parks,,,,
Eurynysius,sp.,Lygaeidae,,Parks,0.658,0.823,0.171,0.971
Eysarcoris,distinctus,Pentatomidae,,Parks,0.656,0.824,0.174,0.988
Froggattia,olivinia,Tingidae,,Parks,0.645,0.825,0.164,0.972
Gelonus,tasmanicus,Coreidae,,Parks,,,,
Halticus,minutus,Miridae,,Parks,0.756,0.805,0.326,0.973
Koscocrompus,obscurus,Lygaeidae,,Parks,,,,
Lethaeini,spp.,Rhyparochromidae,,Parks,,,,
Malandiola,sp.,Tingidae,,Parks,,,,
Mcateella,elongata,Piesmatidae,,Parks,0.697,0.822,0.222,0.98
Melanacanthus,scutellaris,Alydidae,,Parks,,,,
Mictis,profana,Coreidae,,Parks,0.657,0.823,0.178,0.957
Mirini,sp.1,Miridae,,Parks,0.828,0.777,0.417,0.989
Mirini,sp.2,Miridae,,Parks,,,,
Mirini,sp.3,Miridae,,Parks,0.66,0.826,0.17,0.974
Mirini,sp.4,Miridae,,Parks,0.713,0.815,0.255,0.972
Mirini,sp.5,Miridae,,Parks,,,,
Mirini,sp.6,Miridae,,Parks,,,,
Mirini,sp.7,Miridae,,Parks,0.662,0.827,0.175,0.977
Mutusca,brevicornis,Alydidae,,Parks,0.785,0.802,0.375,0.987
Nezara,viridula,Pentatomidae,,Parks,,,,
Notius,depressus,Pentatomidae,,Parks,0.658,0.822,0.171,0.984
Nysius,caledoniae,Lygaeidae,,Parks,0.694,0.819,0.226,0.977
Nysius,vinitor,Lygaeidae,,Parks,0.742,0.806,0.307,0.987
Ocirrhoe,sp.1,Pentatomidae,,Parks,,,,
Ocirrhoe,sp.2,Pentatomidae,,Parks,,,,
Ocirrhoe,sp.3,Pentatomidae,,Parks,0.663,0.827,0.171,0.973
Oncocoris,geniculatus,Pentatomidae,,Parks,,,,
Ontiscus,australis,Cymidae,,Parks,,,,
Orthotylinae,sp.1,Miridae,,Parks,,,,
Orthotylinae,sp.2,Miridae,,Parks,,,,
Orthotylinae,sp.3,Miridae,,Parks,0.657,0.824,0.205,0.985
Oxycarenus,sp.1,Oxycarenidae,,Parks,,,,
Oxycarenus,sp.2,Oxycarenidae,,Parks,,,,
Pentatomidae,sp.1,Pentatomidae,,Parks,0.656,0.825,0.169,0.972
Pentatomidae,sp.2,Pentatomidae,,Parks,0.661,0.827,0.175,0.969
Phylinae,sp.1,Miridae,,Parks,0.655,0.822,0.171,0.97
Phylinae,sp.2,Miridae,,Parks,,,,
Plinthisus,spp.,Rhyparochromidae,,Parks,,,,
Plinthisus,spp.,Rhyparochromidae,,Parks,,,,
Remaudiereana,inornata,Rhyparochromidae,,Parks,0.743,0.807,0.307,0.983
Sidnia,kinbergi,Miridae,,Parks,0.696,0.819,0.226,0.986
Stenophyella,macreta,Pachygronthidae,,Parks,0.64,0.824,0.16,0.963
Stephanitis,pyroides,Tingidae,,Parks,,,,
Stizocephalus,hirsutus,Rhyparochromidae,,Parks,,,,
Thaumastocoris,safordi,Thaumastocoridae,,Parks,0.661,0.829,0.169,0.98
Tingis,sp.1,Tingidae,,Parks,,,,
Tingis,sp.2,Tingidae,,Parks,,,,
Ulonemia,spp.,Tingidae,,Parks,,,,
Zanessa,rubrovariegata,Miridae,,Parks,,,,
Buchananiella,whitei,Anthocoridae,,Parks,,,,
Cermatulus,nasalis,Pentatomidae,,Parks,,,,
Chinoneides,tasmaniensis,Berytidae,,Parks,,,,
Coranus,callosus,Reduviidae,,Parks,,,,
Deraeocorini,sp.1,Miridae,,Parks,,,,
Deraeocorini,sp.2,Miridae,,Parks,,,,
Dicrotelus,prolixus,Reduviidae,,Parks,,,,
Dicyphini,sp.1,Miridae,,Parks,,,,
Dicyphini,sp.2,Miridae,,Parks,,,,
Emesinae,sp.1,Reduviidae,,Parks,0.657,0.824,0.173,0.97
Germalus,victoriae,Geocoridae,,Parks,0.66,0.827,0.173,0.971
Gminatus,australis,Reduviidae,,Parks,0.657,0.825,0.173,0.973
Nabis,spp.,Nabidae,,Parks,0.744,0.807,0.307,0.987
Oechalia,schellenbergii,Pentatomidae,,Parks,,,,
Orius,spp.,Anthocoridae,,Parks,0.658,0.823,0.175,0.951
Stylogeocoris,biroi,Geocoridae,,Parks,,,,
Amorbus,sp.,Coreidae,,Gardens,,,,
Anischys,sp.,Acanthosomatidae,,Gardens,,,,
Baclozygum,depressum,Thaumastocoridae,,Gardens,,,,
Brentiscerus,putoni,Rhyparochromidae,,Gardens,0.754,0.803,0.2,0.989
Chaetedus,longiceps,Miridae,,Gardens,0.874,0.764,0.583,0.991
Cletus,similis,Coreidae,,Gardens,,,,
Coridromius,sp.,Miridae,,Gardens,,,,
Creontiades,dilutus,Miridae,,Gardens,,,,
Crompus,oculatus,Lygaeidae,,Gardens,,,,
Crompus,opacus,Lygaeidae,,Gardens,,,,
Cryptorhamphus,orbus,Cryptorhamphidae,,Gardens,,,,
Cuspicona,sp.1,Pentatomidae,,Gardens,0.793,0.793,0.279,0.987
Cuspicona,sp.2,Pentatomidae,,Gardens,,,,
Cymodema,basicornis,Cymidae,,Gardens,,,,
Dictyotus,sp.1,Pentatomidae,,Gardens,,,,
Dictyotus,sp.2,Pentatomidae,,Gardens,,,,
Dieuches,maculicollis,Rhyparochromidae,,Gardens,0.765,0.803,0.195,0.984
Dilompus,robustus,Artheneidae,,Gardens,0.787,0.797,0.277,0.988
Dilompus,woodwardi,Artheneidae,,Gardens,,,,
Dindymus,versicolor,Pyrrhocoridae,,Gardens,,,,
Diplocysta,trilobata,Tingidae,,Gardens,,,,
Eribotes,sp.,Pentatomidae,,Gardens,,,,
Eritingis,sp.,Tingidae,,Gardens,,,,
Euander,lacertosus,Rhyparochromidae,,Gardens,,,,
Eupolemus,sp.1,Acanthosomatidae,,Gardens,,,,
Eupolemus,sp.2,Acanthosomatidae,,Gardens,,,,
Eurynysius,sp.,Lygaeidae,,Gardens,,,,
Eysarcoris,distinctus,Pentatomidae,,Gardens,,,,
Froggattia,olivinia,Tingidae,,Gardens,,,,
Gelonus,tasmanicus,Coreidae,,Gardens,,,,
Halticus,minutus,Miridae,,Gardens,0.765,0.808,0.2,0.989
Koscocrompus,obscurus,Lygaeidae,,Gardens,,,,
Lethaeini,spp.,Rhyparochromidae,,Gardens,0.758,0.807,0.198,0.986
Malandiola,sp.,Tingidae,,Gardens,,,,
Mcateella,elongata,Piesmatidae,,Gardens,,,,
Melanacanthus,scutellaris,Alydidae,,Gardens,,,,
Mictis,profana,Coreidae,,Gardens,,,,
Mirini,sp.1,Miridae,,Gardens,,,,
Mirini,sp.2,Miridae,,Gardens,,,,
Mirini,sp.3,Miridae,,Gardens,,,,
Mirini,sp.4,Miridae,,Gardens,,,,
Mirini,sp.5,Miridae,,Gardens,0.826,0.78,0.41,0.99
Mirini,sp.6,Miridae,,Gardens,0.76,0.807,0.239,0.986
Mirini,sp.7,Miridae,,Gardens,0.792,0.791,0.309,0.989
Mutusca,brevicornis,Alydidae,,Gardens,0.729,0.784,0.274,0.989
Nezara,viridula,Pentatomidae,,Gardens,,,,
Notius,depressus,Pentatomidae,,Gardens,,,,
Nysius,caledoniae,Lygaeidae,,Gardens,0.894,0.761,0.631,0.993
Nysius,vinitor,Lygaeidae,,Gardens,0.811,0.787,0.366,0.989
Ocirrhoe,sp.1,Pentatomidae,,Gardens,0.463,0.763,0.809,0.188
Ocirrhoe,sp.2,Pentatomidae,,Gardens,,,,
Ocirrhoe,sp.3,Pentatomidae,,Gardens,0.76,0.807,0.203,0.987
Oncocoris,geniculatus,Pentatomidae,,Gardens,,,,
Ontiscus,australis,Cymidae,,Gardens,,,,
Orthotylinae,sp.1,Miridae,,Gardens,,,,
Orthotylinae,sp.2,Miridae,,Gardens,,,,
Orthotylinae,sp.3,Miridae,,Gardens,,,,
Oxycarenus,sp.1,Oxycarenidae,,Gardens,,,,
Oxycarenus,sp.2,Oxycarenidae,,Gardens,0.764,0.807,0.202,0.99
Pentatomidae,sp.1,Pentatomidae,,Gardens,,,,
Pentatomidae,sp.2,Pentatomidae,,Gardens,,,,
Phylinae,sp.1,Miridae,,Gardens,0.79,0.793,0.279,0.986
Phylinae,sp.2,Miridae,,Gardens,,,,
Plinthisus,spp.,Rhyparochromidae,,Gardens,,,,
Plinthisus,spp.,Rhyparochromidae,,Gardens,0.759,0.807,0.189,0.983
Remaudiereana,inornata,Rhyparochromidae,,Gardens,0.846,0.766,0.52,0.992
Sidnia,kinbergi,Miridae,,Gardens,0.773,0.776,0.354,0.987
Stenophyella,macreta,Pachygronthidae,,Gardens,0.755,0.803,0.189,0.986
Stephanitis,pyroides,Tingidae,,Gardens,0.848,0.775,0.488,0.992
Stizocephalus,hirsutus,Rhyparochromidae,,Gardens,,,,
Thaumastocoris,safordi,Thaumastocoridae,,Gardens,,,,
Tingis,sp.1,Tingidae,,Gardens,0.809,0.787,0.345,0.991
Tingis,sp.2,Tingidae,,Gardens,0.765,0.804,0.21,0.99
Ulonemia,spp.,Tingidae,,Gardens,0.76,0.803,0.199,0.986
Zanessa,rubrovariegata,Miridae,,Gardens,,,,
Buchananiella,whitei,Anthocoridae,,Gardens,,,,
Cermatulus,nasalis,Pentatomidae,,Gardens,,,,
Chinoneides,tasmaniensis,Berytidae,,Gardens,0.787,0.77,0.399,0.986
Coranus,callosus,Reduviidae,,Gardens,,,,
Deraeocorini,sp.1,Miridae,,Gardens,0.763,0.805,0.201,0.987
Deraeocorini,sp.2,Miridae,,Gardens,0.751,0.912,0.068,0.998
Dicrotelus,prolixus,Reduviidae,,Gardens,,,,
Dicyphini,sp.1,Miridae,,Gardens,0.763,0.804,0.209,0.987
Dicyphini,sp.2,Miridae,,Gardens,0.761,0.806,0.198,0.987
Emesinae,sp.1,Reduviidae,,Gardens,0.79,0.792,0.289,0.987
Germalus,victoriae,Geocoridae,,Gardens,,,,
Gminatus,australis,Reduviidae,,Gardens,,,,
Nabis,spp.,Nabidae,,Gardens,0.855,0.77,0.512,0.989
Oechalia,schellenbergii,Pentatomidae,,Gardens,0.76,0.808,0.193,0.99
Orius,spp.,Anthocoridae,,Gardens,,,,
Stylogeocoris,biroi,Geocoridae,,Gardens,,,,
